theta;RFC;KNN;GNB;SVM
2.380738183;79.885;97.495;91.785;94.88
2.393010029;80.195;97.48;91.86;94.86
2.405281875;79.795;97.505;91.775;94.89
2.417553722;80.18;97.48;92.095;94.845
2.429825568;79.655;97.485;92.03;94.805
2.442097414;79.6;97.525;92.09;94.8
2.454369261;79.84;97.53;91.895;94.83
2.466641107;80.06;97.5;92.07;94.835
2.478912953;79.73;97.47;92.07;94.875
2.4911848;80.06;97.435;91.91;94.755
2.503456646;80.035;97.485;92.14;94.815
2.515728492;80.3;97.465;92.005;94.815
2.528000338;79.68;97.455;92.065;94.765
2.540272185;79.99;97.47;91.955;94.75
2.552544031;80.01;97.475;92.145;94.845
2.564815877;79.455;97.53;91.985;94.755
2.577087724;80.09;97.445;92.115;94.8
2.58935957;80.27;97.43;92.225;94.79
2.601631416;79.76;97.46;91.755;94.735
2.613903263;80.01;97.41;91.855;94.655
2.626175109;79.715;97.445;91.88;94.835
2.638446955;80.12;97.43;92.1;94.77
2.650718801;79.85;97.465;92.005;94.59
2.662990648;79.475;97.45;92.25;94.705
2.675262494;79.9;97.445;92.24;94.74
2.68753434;80.545;97.395;92.05;94.615
2.699806187;79.975;97.44;92.33;94.735
2.712078033;79.895;97.465;92.115;94.735
2.724349879;79.685;97.425;92.17;94.715
2.736621726;80.05;97.365;91.955;94.75
2.748893572;79.75;97.41;91.985;94.62
2.761165418;79.865;97.37;91.985;94.725
2.773437265;80.23;97.37;92.05;94.665
2.785709111;80.18;97.42;92.075;94.625
2.797980957;79.655;97.405;92.1;94.63
2.810252803;80.16;97.42;92.11;94.625
2.82252465;80.19;97.37;92.315;94.53
2.834796496;79.9;97.37;92.185;94.625
2.847068342;79.265;97.435;92.29;94.535
2.859340189;80.025;97.39;92.215;94.555
2.871612035;79.875;97.355;92.395;94.535
2.883883881;80.58;97.405;92.155;94.61
2.896155728;80.01;97.36;92.255;94.52
2.908427574;80.265;97.365;92.09;94.63
2.92069942;80.055;97.385;92.17;94.59
2.932971266;80.885;97.375;92.115;94.59
2.945243113;79.905;97.38;92.375;94.605
2.957514959;80.28;97.405;92.31;94.48
2.969786805;80.24;97.38;92.29;94.475
2.982058652;79.56;97.355;92.245;94.56
2.994330498;80.32;97.365;92.355;94.51
3.006602344;79.465;97.37;92.42;94.56
3.018874191;80.355;97.36;92.46;94.46
3.031146037;79.865;97.325;92.48;94.575
3.043417883;79.72;97.39;92.53;94.48
3.055689729;80.28;97.37;92.44;94.535
3.067961576;79.99;97.415;92.49;94.6
3.080233422;79.27;97.38;92.455;94.505
3.092505268;79.915;97.325;92.175;94.57
3.104777115;79.9;97.36;92.375;94.47
3.117048961;79.97;97.39;92.3;94.625
3.129320807;80.11;97.415;92.185;94.585
3.141592654;79.31;97.41;92.195;94.62
3.1538645;79.745;97.33;92.255;94.565
3.166136346;80.13;97.345;92.225;94.56
3.178408193;79.865;97.39;92.465;94.57
3.190680039;79.205;97.345;92.495;94.605
3.202951885;80.035;97.38;92.37;94.475
3.215223731;79.68;97.365;92.33;94.585
3.227495578;80.175;97.43;92.33;94.55
3.239767424;80.155;97.385;92.415;94.55
3.25203927;80.335;97.39;92.48;94.51
3.264311117;80.225;97.305;92.3;94.605
3.276582963;80.35;97.36;92.605;94.555
3.288854809;80.3;97.37;92.405;94.565
3.301126656;80.2;97.315;92.375;94.575
3.313398502;80.13;97.385;92.55;94.57
3.325670348;80.01;97.335;92.505;94.59
3.337942194;80.17;97.33;92.4;94.565
3.350214041;80.33;97.32;92.41;94.69
3.362485887;80.065;97.355;92.415;94.615
3.374757733;79.915;97.35;92.26;94.68
3.38702958;80.035;97.345;92.36;94.585
3.399301426;80.045;97.345;92.435;94.535
3.411573272;80.02;97.38;92.32;94.61
3.423845119;79.8;97.37;92.405;94.695
3.436116965;80.085;97.335;92.5;94.64
3.448388811;80.57;97.36;92.455;94.705
3.460660657;80.41;97.395;92.325;94.71
3.472932504;79.985;97.375;92.28;94.73
3.48520435;80.38;97.355;92.49;94.715
3.497476196;80.045;97.34;92.33;94.665
3.509748043;80.43;97.335;92.245;94.73
3.522019889;80.755;97.41;92.29;94.66
3.534291735;80.295;97.34;92.225;94.71
3.546563582;80.43;97.355;92.18;94.675
3.558835428;80.535;97.44;92.38;94.655
3.571107274;79.89;97.4;92.33;94.745
3.583379121;80.425;97.425;92.355;94.785
3.595650967;80.015;97.39;92.375;94.765
3.607922813;80.625;97.41;92.29;94.735
3.620194659;80.44;97.39;92.34;94.88
3.632466506;80.255;97.43;92.31;94.685
3.644738352;80.01;97.47;92.205;94.81
3.657010198;79.91;97.41;92.275;94.715
3.669282045;80.08;97.43;92.19;94.69
3.681553891;80.165;97.4;92.18;94.74
