;;;;;;;;;
theta1;theta2;RFC;;1NN;;GNB;;SVM;
;;Mean;STD;Mean;STD;Mean;STD;Mean;STD
0.538558741;1.795195802;83.201;1.72361;94.424;0.89804;85.885;1.60783;86.068;1.2691
0.538558741;1.974715382;82.981;1.54078;94.378;0.81424;86.024;1.48587;85.962;1.26766
0.538558741;2.154234962;82.701;1.67824;94.425;0.85685;86.129;1.46824;86.1;1.2836
0.538558741;2.333754543;82.472;1.48955;93.919;0.83854;86.325;1.55201;85.851;1.209
0.538558741;2.513274123;82.318;1.60219;93.583;0.84071;86.2;1.62761;85.543;1.23214
0.538558741;2.692793703;82.179;1.71804;93.586;0.83527;86.242;1.5046;85.315;1.27413
0.538558741;2.872313283;81.614;1.89936;93.388;0.84114;85.963;1.44434;84.506;1.19965
0.538558741;3.051832863;80.953;1.69365;92.981;0.89028;85.543;1.63819;83.882;1.39877
0.538558741;3.231352444;81.158;1.76965;92.669;0.94006;84.878;1.69936;83.539;1.39754
0.538558741;3.410872024;80.778;1.7147;92.553;0.99783;84.567;1.57126;83.39;1.57173
0.538558741;3.590391604;80.767;1.62998;92.832;1.02813;84.49;1.57454;83.268;1.55251
0.538558741;3.769911184;80.96;1.5118;92.85;0.93242;84.504;1.64468;83.4;1.39395
0.538558741;3.949430765;81.331;1.59101;92.801;0.91499;84.656;1.52847;83.583;1.36239
0.538558741;4.128950345;81.842;1.54143;92.789;0.91491;84.628;1.52726;83.946;1.35487
0.538558741;4.308469925;82.21;1.34645;92.767;0.95474;84.764;1.47726;84.403;1.30829
0.538558741;4.487989505;82.304;1.62768;92.967;0.93139;85.032;1.51762;84.758;1.24716
0.538558741;4.667509085;82.901;1.72903;93.342;0.95214;85.251;1.59749;85.085;1.2758
0.538558741;4.847028666;83.168;1.54756;93.628;0.91841;85.356;1.44288;85.318;1.28984
0.538558741;5.026548246;83.668;1.62981;93.871;0.91026;85.45;1.64231;85.487;1.32833
0.538558741;5.206067826;84.271;1.49244;94.214;0.82501;85.725;1.69735;85.794;1.33782
0.538558741;5.385587406;84.425;1.43561;94.486;0.86078;85.785;1.56561;85.975;1.30141
0.538558741;5.565106986;84.976;1.5264;94.535;0.94043;86.171;1.38405;85.854;1.34806
0.538558741;5.744626567;85.101;1.51508;94.608;0.92575;86.489;1.42523;86.294;1.20919
0.538558741;5.924146147;85.035;1.41985;94.818;0.85497;86.562;1.40523;86.537;1.19449
0.538558741;6.103665727;84.826;1.4277;94.814;0.80633;86.525;1.51089;86.699;1.20919
0.538558741;6.283185307;84.744;1.46404;94.742;0.84323;86.426;1.49121;86.839;1.14415
0.718078321;0;84.981;1.61291;94.808;0.83836;86.494;1.48138;86.782;1.24413
0.718078321;0.17951958;84.565;1.32122;94.765;0.82442;86.487;1.5053;86.94;1.19484
0.718078321;0.35903916;84.651;1.55177;94.651;0.84128;86.314;1.59854;87.017;1.22119
0.718078321;0.538558741;84.69;1.41978;94.667;0.81956;86.183;1.39754;86.485;1.33632
0.718078321;0.718078321;84.644;1.38365;94.512;0.83714;86.021;1.5071;86.056;1.32695
0.718078321;0.897597901;84.86;1.35393;94.365;0.84557;86.213;1.42493;85.901;1.22813
0.718078321;1.077117481;84.819;1.82748;94.31;0.94208;86.457;1.29435;85.742;1.26324
0.718078321;1.256637061;84.136;1.65698;94.154;0.9528;86.506;1.38328;85.606;1.18317
0.718078321;1.436156642;83.911;1.63744;93.957;0.95531;86.189;1.47279;85.4;1.1859
0.718078321;1.615676222;83.71;1.43336;93.958;0.90938;86.114;1.47392;85.601;1.21161
0.718078321;1.795195802;83.385;1.53692;94.25;0.95136;85.803;1.4211;85.918;1.22236
0.718078321;1.974715382;83.308;1.6387;94.503;0.89885;85.929;1.4416;86.232;1.29064
0.718078321;2.154234962;83.007;1.70629;94.456;0.90132;86.032;1.42363;86.165;1.27686
0.718078321;2.333754543;82.354;1.67652;94.068;0.84854;86.124;1.52298;86.081;1.3083
