theta;RFC;;KNN;;GNB;;SVC;
2.12302941;80.305;2.910236245;97.36;1.191805353;91.34;2.202135327;94.77;1.528757666
2.135301257;79.815;3.094878834;97.42;1.226213684;91.39;2.674490606;94.775;1.540089283
2.147573103;80.05;2.930443652;97.415;1.222814377;91.68;2.414042253;94.825;1.575396775
2.159844949;79.43;2.872298731;97.35;1.235920709;91.59;2.415967715;94.835;1.595391801
2.172116796;79.93;3.386753608;97.335;1.218718589;91.585;2.263907021;94.835;1.500091664
2.184388642;79.945;3.313529085;97.45;1.10792599;91.67;2.332616557;94.81;1.558492862
2.196660488;80.53;2.706307447;97.44;1.171067889;91.7;2.194310826;94.87;1.49268215
2.208932335;80.035;3.25595992;97.485;1.17144142;91.71;2.34965955;94.91;1.495626959
2.221204181;79.605;2.950673652;97.47;1.193356611;91.685;2.346971453;94.71;1.549483785
2.233476027;79.745;3.429646483;97.44;1.142978565;91.595;2.24799355;94.865;1.513035029
2.245747873;80.215;3.331107173;97.44;1.190126044;91.565;2.380813936;94.84;1.503130068
2.25801972;80.11;2.806759698;97.545;1.1981131;91.775;2.37315718;94.8;1.598436736
2.270291566;79.8;3.371201566;97.405;1.135110127;91.66;2.365248401;94.9;1.6673332
2.282563412;79.59;3.541454503;97.455;1.212631436;91.72;2.387802337;94.815;1.645683748
2.294835259;80.36;2.98;97.46;1.112834219;91.82;2.519444383;94.78;1.54970965
2.307107105;80.095;3.141412899;97.465;1.185864663;91.645;2.538006107;94.785;1.637459923
2.319378951;80.355;2.938788015;97.445;1.201863137;91.985;2.394216991;94.84;1.590408752
2.331650798;79.745;2.753629423;97.365;1.199697879;91.83;2.223982914;94.78;1.573721703
2.343922644;80.31;3.539618624;97.385;1.210072312;91.99;2.169078145;94.89;1.692010638
2.35619449;79.74;2.812898861;97.47;1.159353268;91.675;2.314492385;94.84;1.627697761
2.368466337;79.78;3.223600472;97.43;1.176902715;91.83;2.287159811;94.84;1.630766691
2.380738183;79.885;3.15899905;97.495;1.143448731;91.785;2.307872397;94.88;1.644870816
2.393010029;80.195;3.426291727;97.48;1.180931835;91.86;2.210294098;94.86;1.607917908
2.405281875;79.795;3.409615081;97.505;1.173658809;91.775;2.248749653;94.89;1.535545506
2.417553722;80.18;3.101225564;97.48;1.159568885;92.095;2.207594845;94.845;1.58223734
2.429825568;79.655;3.144594568;97.485;1.156406071;92.03;2.21903132;94.805;1.573046407
2.442097414;79.6;3.250384593;97.525;1.125555418;92.09;2.259845127;94.8;1.541103501
2.454369261;79.84;3.24798399;97.53;1.113148687;91.895;2.348717735;94.83;1.634350024
2.466641107;80.06;3.291109236;97.5;1.161895004;92.07;2.366453042;94.835;1.513365455
2.478912953;79.73;3.529461715;97.47;1.191259837;92.07;2.334544924;94.875;1.551410648
2.4911848;80.06;3.020993214;97.435;1.173999574;91.91;2.232017025;94.755;1.5819213
2.503456646;80.035;2.67044472;97.485;1.154242176;92.14;2.413586543;94.815;1.486026581
2.515728492;80.3;3.041381265;97.465;1.171014517;92.005;2.196013433;94.815;1.58848198
2.528000338;79.68;3.13569769;97.455;1.193932578;92.065;2.395469683;94.765;1.69919834
2.540272185;79.99;3.09917731;97.47;1.180720119;91.955;2.33997329;94.75;1.59608897
2.552544031;80.01;2.924876066;97.475;1.156233108;92.145;2.33162497;94.845;1.619714481
2.564815877;79.455;3.087956444;97.53;1.163658025;91.985;2.380603915;94.755;1.553214409
2.577087724;80.09;3.090614826;97.445;1.163819144;92.115;2.422658664;94.8;1.634013464
2.58935957;80.27;3.130830561;97.43;1.159784463;92.225;2.118224492;94.79;1.570318439
2.601631416;79.76;3.096352693;97.46;1.197246842;91.755;2.257758845;94.735;1.617799431
2.613903263;80.01;2.812454444;97.41;1.237699479;91.855;2.30032063;94.655;1.60887383
2.626175109;79.715;3.528636422;97.445;1.182994083;91.88;2.250688783;94.835;1.64932562
2.638446955;80.12;2.974995798;97.43;1.232923355;92.1;2.179449472;94.77;1.605334856
2.650718801;79.85;3.073678578;97.465;1.192172387;92.005;2.263288537;94.59;1.595900999
2.662990648;79.475;3.141158226;97.45;1.223723825;92.25;2.353189325;94.705;1.617243024
2.675262494;79.9;3.357826678;97.445;1.174510536;92.24;2.252198925;94.74;1.659035865
2.68753434;80.545;2.486056114;97.395;1.17748673;92.05;2.273213584;94.615;1.593510276
2.699806187;79.975;2.8603977;97.44;1.140789201;92.33;2.315404932;94.735;1.613156843
2.712078033;79.895;3.371420324;97.465;1.149467268;92.115;2.051651774;94.735;1.639291005
2.724349879;79.685;3.169112652;97.425;1.237689379;92.17;2.404391815;94.715;1.762462766
2.736621726;80.05;2.725344015;97.365;1.193429931;91.955;2.472948645;94.75;1.61322658
2.748893572;79.75;3.161091584;97.41;1.200791406;91.985;2.411902776;94.62;1.595493654
2.761165418;79.865;2.978972138;97.37;1.207518116;91.985;2.374294632;94.725;1.664894892
2.773437265;80.23;2.942295023;97.37;1.184525221;92.05;2.264398375;94.665;1.685311544
2.785709111;80.18;3.080194799;97.42;1.211858077;92.075;2.351993835;94.625;1.70788612
2.797980957;79.655;2.813089938;97.405;1.188896547;92.1;2.254994457;94.63;1.624222891
2.810252803;80.16;3.4719447;97.42;1.211858077;92.11;2.384931865;94.625;1.722461901
2.82252465;80.19;3.155772489;97.37;1.19503138;92.315;2.316953819;94.53;1.63679565
2.834796496;79.9;3.182766093;97.37;1.217825932;92.185;2.504650674;94.625;1.613032858
2.847068342;79.265;2.967705343;97.435;1.141610704;92.29;2.459857719;94.535;1.606634682
2.859340189;80.025;2.868252953;97.39;1.215689105;92.215;2.40546773;94.555;1.677639711
2.871612035;79.875;2.633794791;97.355;1.21921081;92.395;2.279577812;94.535;1.725188396
2.883883881;80.58;3.130271554;97.405;1.148248666;92.155;2.19054217;94.61;1.740086205
2.896155728;80.01;3.283275803;97.36;1.220819397;92.255;2.285273507;94.52;1.702821188
2.908427574;80.265;2.876156289;97.365;1.197612208;92.09;2.255415704;94.63;1.6149613
2.92069942;80.055;2.877407687;97.385;1.185021097;92.17;2.361376717;94.59;1.721017141
2.932971266;80.885;2.88518197;97.375;1.177656571;92.115;2.163163193;94.59;1.721017141
2.945243113;79.905;3.676067872;97.38;1.200249974;92.375;2.360481942;94.605;1.725246359
2.957514959;80.28;2.947303853;97.405;1.188896547;92.31;2.355610324;94.48;1.685111272
2.969786805;80.24;3.276797217;97.38;1.177115118;92.29;2.162382945;94.475;1.713731309
2.982058652;79.56;2.862062194;97.355;1.196442644;92.245;2.381695824;94.56;1.679702355
2.994330498;80.32;2.63583004;97.365;1.224448856;92.355;2.230801425;94.51;1.655264329
3.006602344;79.465;3.232843176;97.37;1.178176557;92.42;2.275653752;94.56;1.61752898
3.018874191;80.355;3.064551354;97.36;1.226947432;92.46;2.257963684;94.46;1.644201934
3.031146037;79.865;2.964671145;97.325;1.237689379;92.48;2.448387224;94.575;1.649810595
3.043417883;79.72;2.895962707;97.39;1.203287164;92.53;2.351403836;94.48;1.671705716
3.055689729;80.28;3.242159774;97.37;1.205445976;92.44;2.338033362;94.535;1.741055714
3.067961576;79.99;3.208566658;97.415;1.202195907;92.49;2.297803299;94.6;1.643167673
3.080233422;79.27;3.165770049;97.38;1.185580027;92.455;2.226089621;94.505;1.614767785
3.092505268;79.915;3.238097435;97.325;1.21937484;92.175;2.479289213;94.57;1.701499339
3.104777115;79.9;3.223352292;97.36;1.166361865;92.375;2.442718772;94.47;1.714380355
3.117048961;79.97;3.299863634;97.39;1.182328212;92.3;2.451530134;94.625;1.588041246
3.129320807;80.11;2.994645221;97.415;1.202195907;92.185;2.451178288;94.585;1.641729271
3.141592654;79.31;3.245597017;97.41;1.207021127;92.195;2.324752675;94.62;1.629601178
3.1538645;79.745;3.14602527;97.33;1.212889113;92.255;2.506486585;94.565;1.712680647
3.166136346;80.13;3.0599183;97.345;1.182571351;92.225;2.364714571;94.56;1.651181395
3.178408193;79.865;2.852941465;97.39;1.165289664;92.465;2.328363159;94.57;1.603153143
3.190680039;79.205;3.248149473;97.345;1.176212141;92.495;2.376441668;94.605;1.639046979
3.202951885;80.035;2.842758344;97.38;1.153516363;92.37;2.281030469;94.475;1.690229274
3.215223731;79.68;3.47887913;97.365;1.174425391;92.33;2.471052407;94.585;1.790328182
3.227495578;80.175;3.290421705;97.43;1.11584049;92.33;2.391882104;94.55;1.669580786
3.239767424;80.155;3.130251587;97.385;1.108726747;92.415;2.315226771;94.55;1.700735135
3.25203927;80.335;3.355633323;97.39;1.188654702;92.48;2.43918019;94.51;1.75638834
3.264311117;80.225;3.05808355;97.305;1.176637157;92.3;2.501999201;94.605;1.74684716
3.276582963;80.35;2.842094298;97.36;1.086462148;92.605;2.320878067;94.555;1.767618454
3.288854809;80.3;2.798213716;97.37;1.128317331;92.405;2.301841654;94.565;1.73587874
3.301126656;80.2;3.027375101;97.315;1.137222494;92.375;2.34027242;94.575;1.734034313
3.313398502;80.13;3.089190833;97.385;1.15510822;92.55;2.374342014;94.57;1.673349934
3.325670348;80.01;3.248830559;97.335;1.135902725;92.505;2.325397815;94.59;1.756957598
3.337942194;80.17;3.544164217;97.33;1.131856881;92.4;2.488975693;94.565;1.644163921
3.350214041;80.33;3.340823252;97.32;1.134724636;92.41;2.339209268;94.69;1.708478856
3.362485887;80.065;3.008866065;97.355;1.127597002;92.415;2.267217458;94.615;1.662610899
3.374757733;79.915;3.224170436;97.35;1.141271221;92.26;2.15694228;94.68;1.716857595
3.38702958;80.035;3.280438233;97.345;1.121817721;92.36;2.334609175;94.585;1.685311544
3.399301426;80.045;3.238128317;97.345;1.150423835;92.435;2.184782598;94.535;1.77940299
3.411573272;80.02;3.143978371;97.38;1.072660244;92.32;2.20059083;94.61;1.772822608
3.423845119;79.8;2.704625667;97.37;1.128317331;92.405;2.079296756;94.695;1.730455142
3.436116965;80.085;2.890549256;97.335;1.095570628;92.5;2.029778313;94.64;1.694225487
3.448388811;80.57;2.885324938;97.36;1.127120224;92.455;2.279358462;94.705;1.739389261
3.460660657;80.41;2.977734038;97.395;1.136430816;92.325;2.172987575;94.71;1.700264685
3.472932504;79.985;3.302616387;97.375;1.105384548;92.28;2.252021314;94.73;1.769773997
3.48520435;80.38;3.48290109;97.355;1.111968974;92.49;2.202248851;94.715;1.710635847
3.497476196;80.045;3.202417056;97.34;1.117765628;92.33;2.069081922;94.665;1.740768508
