theta;RFC;;KNN;;GNB;;SVC;
1.337631247;50.155;2.702725476;77.685;1.965839515;67.405;2.414223478;61.6;2.391652149
1.349903093;50.2075;2.822023875;77.57;1.938130543;67.35;2.266053839;61.4;2.320021552
1.36217494;50.375;3.035930665;77.4975;1.923049336;67.145;2.247826728;61.2925;2.372513172
1.374446786;50.0625;2.618295008;77.3625;1.908328785;67.0525;2.335673083;61.105;2.286148508
1.386718632;50.195;2.580838042;77.245;1.974202371;66.9725;2.282239854;60.9475;2.371258896
1.398990479;49.6725;2.464674167;77.1575;1.976314436;67.1225;2.364977537;60.76;2.372741031
1.411262325;49.5075;2.639946732;76.9975;2.01447729;67.04;2.644031013;60.4925;2.435532539
1.423534171;49.075;2.913653205;77.2125;2.049199539;67.3325;2.422048462;60.9175;2.476149985
1.435806017;48.6275;2.564296931;77.27;1.959489729;67.185;2.21518058;60.9025;2.417357803
1.448077864;48.4225;2.956073198;77.1425;1.973022744;67.2175;2.215190455;60.81;2.477932606
1.46034971;47.83;2.88484835;77.0775;2.009569295;67.095;2.298581084;60.7525;2.347736942
1.472621556;47.61;3.06967425;76.935;2.005187024;67.06;2.232744947;60.565;2.318841305
1.484893403;47.76;2.481662749;76.7775;1.99402075;66.9425;2.185707837;60.2475;2.286781308
1.497165249;47.85;2.682116701;76.715;1.970095175;66.8375;2.508329873;60.0075;2.247068924
1.509437095;47.5075;2.87216273;76.6225;1.917516297;66.9825;2.487783903;59.7975;2.299101727
1.521708942;47.4525;2.82415806;76.5375;1.882609559;66.8075;2.502961995;59.72;2.331115613
1.533980788;47.415;3.357681492;76.405;1.939323336;66.4825;2.433940991;59.6025;2.311951286
1.546252634;47.3575;2.756187358;76.275;1.951441775;66.56;2.51299622;59.4125;2.421872984
1.55852448;47.3625;2.650795871;76.17;1.928043049;66.415;2.524683148;59.19;2.307899478
1.570796327;55.1775;2.508060755;80.0425;1.701857441;70.6525;2.518654155;65.0725;2.429324752
1.583068173;47.4125;3.007360762;75.915;1.926207414;66.33;2.467002229;58.7575;2.296860629
1.595340019;47.1;2.673948391;75.7825;1.89988651;66.1275;2.420871486;58.6075;2.152107978
1.607611866;46.5275;2.985359066;75.5875;1.890890994;66.1575;2.395478814;58.38;2.166644872
1.619883712;46.52;3.285133178;75.485;1.87610634;66.1775;2.180394173;58.275;2.209213661
1.632155558;46.2675;2.543190663;75.345;1.941256037;66.1;2.336396798;58.0175;2.161381213
1.644427405;46.715;2.828873451;75.2175;1.929590306;65.985;2.311876943;57.8225;2.134623796
1.656699251;46.655;2.721162435;75.0375;1.967985963;66.0275;2.279225472;57.6825;2.181700885
1.668971097;46.415;2.345;74.9575;1.959609336;65.9475;2.264479797;57.4375;2.201810335
1.681242944;46.37;3.045792179;74.8225;1.945602413;65.9375;2.34557429;57.27;2.177923323
1.69351479;46.15;2.900431002;74.7025;1.905155834;65.8925;2.472411525;57.1175;2.133792106
